company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru;;
COCA COLA;ISOLITE GLACEAU VITAMINWATER;"intext:""ISOLITE"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;No;No;No;No;Si;;
COCA COLA;BIMBO;"intext:""BIMBO break"" OR intext:""BIMBO lima-limón"" OR intext:""BIMBO naranja""";No;No;No;No;No;No;No;Si;;
COLBUN;COLBUN;"intext:""COLBUN"" AND (intext:""company"" OR intext:""compañía"" OR intext:""empresa"" OR intext:""firm"" OR intext:""firma"") -""lago""  -""ciudad"" -""linares""";No;No;No;No;No;No;No;Si;;
COLGATE PALMOLIVE;COLGATE;"intext:""COLGATE""";No;No;No;Si;Si;Si;Si;Si;;
COLGATE PALMOLIVE;PALMOLIVE;"intext:""PALMOLIVE""";No;No;No;Si;Si;Si;Si;Si;;
COLGATE PALMOLIVE;HILL'S;"intext:""Hill's Pet Nutrition""";No;No;No;Si;Si;Si;Si;Si;;
COLGATE PALMOLIVE;SPEED STICK;"intext:""SPEED STICK""";No;No;No;Si;Si;Si;Si;Si;;
COLGATE PALMOLIVE;LADY SPEED STICK;"intext:""LADY SPEED STICK""";No;No;No;Si;Si;Si;Si;Si;;
COLGATE PALMOLIVE;PROTEX;"intext:""PROTEX""";No;No;No;Si;Si;Si;No;Si;;
COLGATE PALMOLIVE;ELMEX;"intext:""ELMEX""";No;No;No;Si;No;No;No;No;;
COLGATE PALMOLIVE;SUAVITEL;"intext:""SUAVITEL""";No;No;No;No;Si;No;Si;No;;
COLGATE PALMOLIVE;AJAX;"intext:""AJAX"" AND (intext:""LIMPIADOR"" OR intext:""LIMPIEZA"")";No;No;No;No;Si;No;Si;No;;
COLGATE PALMOLIVE;AXION;"intext:""AXION"" AND intext:""COLGATE PALMOLIVE""";No;No;No;No;Si;No;Si;No;;
COLGATE PALMOLIVE;TOM'S OF MAINE;"intext:""TOM'S OF MAINE""";No;No;No;No;No;No;Si;No;;
COLGATE PALMOLIVE;KOLYNOS;"intext:""KOLYNOS""";No;No;No;No;No;No;No;Si;;
CONCHA Y TORO;CONCHA Y TORO;"intext:""CONCHA Y TORO""";No;No;No;No;No;No;No;Si;;
CONTINENTAL;CONTINENTAL;"intext:""CONTINENTAL"" AND (intext:""neumáticos"" OR intext:""llantas"" OR intext:""ruedas"")";No;No;No;No;No;Si;No;Si;;
COSTCO;COSTCO;"intext:""COSTCO""";No;No;No;No;No;No;Si;No;;
COSTCO;KIRKLAND;"intext:""KIRKLAND""";No;No;No;No;No;No;Si;No;;
DANONE;DANONE;"intext:""DANONE""";Si;No;Si;No;No;No;No;No;;
DANONE;LA SERENÍSIMA;"intext:""LA SERENÍSIMA"" AND intext:""DANONE""";Si;No;No;No;No;No;No;No;;
DANONE;DANETTE;"intext:""DANETTE""";Si;No;Si;No;No;No;No;No;;
DANONE;VIDACOL;"intext:""VIDACOL""";Si;No;No;No;No;No;No;No;;
DANONE;CINDOR;"intext:""CINDOR""";Si;No;No;No;No;No;No;No;;
DANONE;ACTIVIA;"intext:""ACTIVIA""";Si;No;Si;No;No;No;No;No;;
DANONE;ACTIMEL;"intext:""ACTIMEL""";Si;No;Si;No;No;No;No;No;;
DANONE;GRAN COMPRA;"intext:""GRAN COMPRA"" AND intext:""DANONE""";Si;No;No;No;No;No;No;No;;
DANONE;VILLAVIVENCIO;"intext:""VILLAVIVENCIO""";Si;No;No;No;No;No;No;No;;
DANONE;VILLA DEL SUR;"intext:""VILLA DEL SUR""";Si;No;No;No;No;No;No;No;;
DANONE;NUTRICIA;"intext:""NUTRICIA""";Si;No;Si;No;No;No;No;No;;
DANONE;APTAMIL;"intext:""APTAMIL""";Si;No;Si;No;No;No;No;No;;
DANONE;NUTRILON;"intext:""NUTRILON""";Si;No;No;No;No;No;No;No;;
DANONE;SILK;"intext:""SILK"" AND intext:""DANONE""";No;No;Si;No;No;No;No;No;;
DANONE;PAULISTA;"intext:""PAULISTA"" AND intext:""DANONE""";No;No;Si;No;No;No;No;No;;
DANONE;DANONINHO;"intext:""DANONINHO""";No;No;Si;No;No;No;No;No;;
DANONE;MILUPA;"intext:""MILUPA""";No;No;Si;No;No;No;No;No;;
DANONE;MILNUTRI;"intext:""MILNUTRI""";No;No;Si;No;No;No;No;No;;
DANONE;BONAFONT;"intext:""BONAFONT""";No;No;Si;No;No;No;No;No;;
DANONE;FORTIFIT;"intext:""FORTIFIT""";No;No;Si;No;No;No;No;No;;
DIAGEO;DIAGEO;"intext:""DIAGEO""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;JOHNIE WALKER;"intext:""JOHNIE WALKER"" OR intext:""JOHNNIE WALKER""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;CROWN ROYAL;"intext:""CROWN ROYAL""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;J&B;"intext:""J&B""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;BUCHANAN'S;"intext:""BUCHANAN'S""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;WINDOR;"intext:""WINDOR""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;DON JULIO;"intext:""DON JULIO"" AND (intext:""DIAGEO"" OR intext:""Tequila"")";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;SMIRNOFF;"intext:""SMIRNOFF""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;KETEL ONE;"intext:""KETEL ONE""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;CIROC;"intext:""CIROC""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;CAPTAIN MORGAN;"intext:""CAPTAIN MORGAN"" AND (intext:""DIAGEO"" OR intext:""Rom"" OR intext:""Rum"")";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;BAILEYS;"intext:""BAILEYS""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;TANQUERAY;"intext:""TANQUERAY""";No;No;No;Si;Si;Si;Si;Si;;
DIAGEO;GUINNESS;"intext:""GUINNESS"" AND (intext:""beer"" OR intext:""cerveza"") -""records"" -""record"" -""récords"" -""récord""";No;No;No;Si;Si;Si;Si;Si;;
EMPRESAS COPEC;EMPRESAS COPEC;"intext:""EMPRESAS COPEC""";No;No;No;No;No;No;No;Si;;
ENEL;ENEL;"intext:""ENEL""";No;No;Si;Si;No;No;No;Si;;
ENGIE;ENGIE;"intext:""ENGIE""";No;No;No;Si;No;No;No;Si;;
FACEBOOK;FACEBOOK;"intext:""FACEBOOK""";Si;No;Si;Si;No;No;Si;Si;;
FALABELLA;FALABELLA;"intext:""FALABELLA""";Si;No;No;No;Si;Si;No;Si;;
FALABELLA;SODIMAC;"intext:""SODIMAC""";Si;No;No;No;Si;Si;No;Si;;
FALABELLA;LINIO;"intext:""LINIO""";No;No;No;No;Si;Si;No;Si;;
FALABELLA;TOTTUS;"intext:""TOTTUS""";No;No;No;No;No;Si;No;Si;;
FEDEX;FEDEX;"intext:""FEDEX""";No;No;No;No;No;Si;Si;No;;
FORD;FORD;"intext:""FORD"" AND (intext:""coche"" OR intext:""carro"" OR intext:""car"")";Si;No;Si;No;No;Si;No;No;;
FORD;TROLLER;"intext:""TROLLER"" AND intext:""FORD""";No;No;Si;No;No;No;No;No;;
GASCO;GASCO;"intext:""GASCO""";No;No;No;No;No;No;No;Si;;
GENERAL ELECTRIC;GENERAL ELECTRIC;"intext:""GENERAL ELECTRIC""";Si;No;Si;No;No;No;No;No;;
GENERAL ELECTRIC;GE;"intext:""GE"" AND (intext:""company"" OR intext:""compañía"" OR intext:""empresa"" OR intext:""firm"" OR intext:""firma"" OR intext:""negocio"")";Si;No;Si;No;No;No;No;No;;
GENERAL MOTORS;GENERAL MOTORS;"intext:""GENERAL MOTORS""";Si;No;Si;No;Si;Si;Si;Si;;
GENERAL MOTORS;GM;"intext:""GM"" AND (intext:""carro"" OR intext:""coche"" OR intext:""automóvil"")";Si;No;Si;No;Si;Si;Si;Si;;
GENERAL MOTORS;CHEVROLET;"intext:""CHEVROLET""";Si;No;Si;No;Si;Si;Si;Si;;
GENERAL MOTORS;CADILLAC;"intext:""CADILLAC""";Si;No;No;No;No;No;Si;No;;
GENERAL MOTORS;OLDSMOBILE;"intext:""OLDSMOBILE""";Si;No;No;No;No;No;No;No;;
GENERAL MOTORS;GMC;"intext:""GMC""";Si;No;No;No;No;No;Si;No;;
GENERAL MOTORS;OPEL;"intext:""OPEL""";Si;No;No;No;No;No;No;No;;
GENERAL MOTORS;VAUXHALL;"intext:""VAUXHALL""";Si;No;No;No;No;No;No;No;;
GENERAL MOTORS;COLMOTORES;"intext:""COLMOTORES""";No;No;No;No;Si;No;No;No;;
GENERAL MOTORS;GM-OBB;"intext:""GM-OBB""";No;No;No;No;No;Si;No;No;;
GENERAL MOTORS;BUICK;"intext:""BUICK""";No;No;No;No;No;No;Si;No;;
GENERAL MOTORS;ISUZU;"intext:""ISUZU""";No;No;No;No;No;No;No;Si;;
GENERAL MOTORS;AC DELCO;"intext:""AC DELCO""";No;No;No;No;No;No;No;Si;;
GENERAL MOTORS;ONSTAR;"intext:""ONSTAR""";No;No;No;No;No;No;No;Si;;
GERDAU AZA;GERDAU AZA;"intext:""GERDAU AZA""";No;No;No;Si;Si;No;No;Si;;
GERDAU AZA;GERDAU DIACO;"intext:""GERDAU DIACO""";No;No;No;No;Si;No;No;No;;
GERDAU AZA;SIDERPERU;"intext:""SIDERPERU""";No;No;No;No;No;No;No;Si;;
GOOGLE;GOOGLE;"intext:""GOOGLE""";Si;No;Si;Si;Si;Si;Si;Si;;
GRUPO SECURITY;GRUPO SECURITY;"intext:""GRUPO SECURITY""";No;No;No;No;No;No;No;Si;;
HEWLETT PACKARD;HEWLETT PACKARD;"intext:""HEWLETT PACKARD""";No;No;Si;Si;Si;Si;Si;Si;;
HEWLETT PACKARD;HP;"intext:""HP""";No;No;Si;Si;Si;Si;Si;Si;;
HOLCIM;HOLCIM;"intext:""HOLCIM""";No;No;No;No;No;Si;No;Si;;
HOLCIM;LAFARGEHOLCIM;"intext:""LAFARGEHOLCIM""";No;No;No;No;No;Si;No;Si;;
HONDA;HONDA;"intext:""HONDA""";Si;No;Si;No;No;No;No;No;;
HYUNDAI;HYUNDAI;"intext:""HYUNDAI""";No;No;No;No;Si;Si;No;No;;
HYUNDAI;KIA;"intext:""KIA""";No;No;No;No;Si;Si;No;No;;
IBM;IBM;"intext:""IBM""";Si;No;Si;Si;Si;Si;Si;Si;;
INDITEX;INDITEX;"intext:""INDITEX""";No;No;No;No;No;No;Si;No;;
INDITEX;ZARA;"intext:""ZARA""";No;No;No;No;No;No;Si;No;;
INDITEX;PULL&BEAR;"intext:""PULL&BEAR""";No;No;No;No;No;No;Si;No;;
INDITEX;MASSIMO DUTTI;"intext:""MASSIMO DUTTI""";No;No;No;No;No;No;Si;No;;
INDITEX;BERSHKA;"intext:""BERSHKA""";No;No;No;No;No;No;Si;No;;
INDITEX;STRADIVARIUS;"intext:""STRADIVARIUS"" -violin -violines -violinista -violins -violín";No;No;No;No;No;No;Si;No;;
INDITEX;OYSHO;"intext:""OYSHO""";No;No;No;No;No;No;Si;No;;
INDITEX;ZARA HOME;"intext:""ZARA HOME""";No;No;No;No;No;No;Si;No;;
INDITEX;UTERQÜE;"intext:""UTERQÜE""";No;No;No;No;No;No;Si;No;;
